"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-162594","Early Phase of HIV Life Cycle","4/201","14/10654",0.0001061175308573,0.00787199137995969,0.00608271779746627,"BANF1/CD4/XRCC6/CXCR4",4
"R-HSA-162906","HIV Infection","14/201","233/10654",0.000131395496578787,0.00893489376735749,0.00690402653076256,"PSMC2/NUP88/PSMA3/NUP155/PSMF1/CDK7/PSMB2/POLR2G/TAF2/BANF1/CD4/PSMB1/XRCC6/CXCR4",14
"R-HSA-844456","The NLRP3 inflammasome","4/201","15/10654",0.000142576300882096,0.00894940473229155,0.00691523920877534,"TXN/NFKB2/PSTPIP1/HSP90AB1",4
"R-HSA-69202","Cyclin E associated events during G1/S transition ","8/201","83/10654",0.000164000079395308,0.00955886177046938,0.00738616898930748,"PSMC2/PSMA3/PSMF1/CDK7/PSMB2/CDKN1A/MYC/PSMB1",8
"R-HSA-3700989","Transcriptional Regulation by TP53","18/201","365/10654",0.000185089225106629,0.00988218751230581,0.00763600402460163,"BCL6/SGK1/TXN/EHMT2/CDK7/BNIP3L/POLR2G/YWHAB/TOPBP1/TXNRD1/CDKN1A/PRKAB1/TAF2/PRDX1/GADD45A/PRMT1/RBBP8/FOS",18
"R-HSA-69656","Cyclin A:Cdk2-associated events at S phase entry","8/201","85/10654",0.000193768382594232,0.00988218751230581,0.00763600402460163,"PSMC2/PSMA3/PSMF1/CDK7/PSMB2/CDKN1A/MYC/PSMB1",8
"R-HSA-1234176","Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha","7/201","66/10654",0.000232627075780525,0.0111660996374652,0.00862808782616313,"PSMC2/UBE2D3/PSMA3/PSMF1/PSMB2/PSMB1/HIF1A",7
"R-HSA-1169091","Activation of NF-kappaB in B cells","7/201","67/10654",0.00025567395868072,0.0114529641258522,0.00884974911169434,"PSMC2/PSMA3/PSMF1/PSMB2/NFKBIA/NFKBIE/PSMB1",7
"R-HSA-5687128","MAPK6/MAPK4 signaling","8/201","89/10654",0.000266674409793127,0.0114529641258522,0.00884974911169434,"PSMC2/FOXO3/HSPB1/PSMA3/PSMF1/PSMB2/MYC/PSMB1",8
"R-HSA-350562","Regulation of ornithine decarboxylase (ODC)","6/201","51/10654",0.00037164283048635,0.0151630274838431,0.0117165292348065,"PSMC2/PSMA3/PSMF1/PSMB2/PSMB1/AZIN1",6
"R-HSA-936440","Negative regulators of DDX58/IFIH1 signaling","5/201","34/10654",0.000405387029819291,0.0153409933031385,0.0118540441029153,"UBE2D3/ISG15/HERC5/TNFAIP3/TBK1",5
"R-HSA-180534","Vpu mediated degradation of CD4","6/201","52/10654",0.000413605211604225,0.0153409933031385,0.0118540441029153,"PSMC2/PSMA3/PSMF1/PSMB2/CD4/PSMB1",6
"R-HSA-8878159","Transcriptional regulation by RUNX3","8/201","96/10654",0.000447507148743661,0.0158767753641229,0.0122680449472519,"PSMC2/FOXO3/PSMA3/PSMF1/PSMB2/CDKN1A/MYC/PSMB1",8
"R-HSA-622312","Inflammasomes","4/201","20/10654",0.000469972839581696,0.0159790765457777,0.0123470934609402,"TXN/NFKB2/PSTPIP1/HSP90AB1",4
"R-HSA-1234174","Cellular response to hypoxia","7/201","75/10654",0.000513979333479132,0.0163255360857305,0.0126148040703722,"PSMC2/UBE2D3/PSMA3/PSMF1/PSMB2/PSMB1/HIF1A",7
"R-HSA-1606322","ZBP1(DAI) mediated induction of type I IFNs","4/201","21/10654",0.000572041215568483,0.0163255360857305,0.0126148040703722,"NFKB2/NFKBIA/DHX9/TBK1",4
"R-HSA-8852276","The role of GTSE1 in G2/M progression after G2 checkpoint","7/201","77/10654",0.000603308009097309,0.0163255360857305,0.0126148040703722,"PSMC2/PSMA3/PSMF1/PSMB2/CDKN1A/HSP90AB1/PSMB1",7
"R-HSA-450408","AUF1 (hnRNP D0) binds and destabilizes mRNA","6/201","56/10654",0.000619699617541106,0.0163255360857305,0.0126148040703722,"PSMC2/HSPB1/PSMA3/PSMF1/PSMB2/PSMB1",6
"R-HSA-5362768","Hh mutants that don't undergo autocatalytic processing are degraded by ERAD","6/201","56/10654",0.000619699617541106,0.0163255360857305,0.0126148040703722,"PSMC2/PSMA3/PSMF1/VCP/PSMB2/PSMB1",6
"R-HSA-168928","DDX58/IFIH1-mediated induction of interferon-alpha/beta","7/201","78/10654",0.000652372977729306,0.0163255360857305,0.0126148040703722,"UBE2D3/ISG15/NFKB2/HERC5/NFKBIA/TNFAIP3/TBK1",7
"R-HSA-8950505","Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation","5/201","38/10654",0.000687936425778242,0.0163255360857305,0.0126148040703722,"HNRNPDL/GSTO1/SERPINB2/HSPA9/MSN",5
"R-HSA-8862803","Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models","4/201","22/10654",0.000688914769638938,0.0163255360857305,0.0126148040703722,"FOXO3/LMNA/CAPN2/PRDX1",4
"R-HSA-8863678","Neurodegenerative Diseases","4/201","22/10654",0.000688914769638938,0.0163255360857305,0.0126148040703722,"FOXO3/LMNA/CAPN2/PRDX1",4
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","13/201","244/10654",0.00072265422194489,0.0163255360857305,0.0126148040703722,"NUP88/SNRPG/NUP155/HNRNPU/SNRPB/DDX39A/HNRNPC/POLR2G/RBM5/RBM8A/DHX9/SRRT/DHX15",13
"R-HSA-162909","Host Interactions of HIV factors","9/201","129/10654",0.000737206672151649,0.0163255360857305,0.0126148040703722,"PSMC2/NUP88/PSMA3/NUP155/PSMF1/PSMB2/BANF1/CD4/PSMB1",9
"R-HSA-72702","Ribosomal scanning and start codon recognition","6/201","58/10654",0.000748795786728034,0.0163255360857305,0.0126148040703722,"RPS4Y1/EIF5/EIF3E/RPS3/RPS27L/EIF3A",6
"R-HSA-351202","Metabolism of polyamines","6/201","59/10654",0.000820671182849055,0.0163255360857305,0.0126148040703722,"PSMC2/PSMA3/PSMF1/PSMB2/PSMB1/AZIN1",6
"R-HSA-5387390","Hh mutants abrogate ligand secretion","6/201","59/10654",0.000820671182849055,0.0163255360857305,0.0126148040703722,"PSMC2/PSMA3/PSMF1/VCP/PSMB2/PSMB1",6
"R-HSA-5676590","NIK-->noncanonical NF-kB signaling","6/201","59/10654",0.000820671182849055,0.0163255360857305,0.0126148040703722,"PSMC2/NFKB2/PSMA3/PSMF1/PSMB2/PSMB1",6
"R-HSA-68827","CDT1 association with the CDC6:ORC:origin complex","6/201","59/10654",0.000820671182849055,0.0163255360857305,0.0126148040703722,"PSMC2/ORC5/PSMA3/PSMF1/PSMB2/PSMB1",6
"R-HSA-69206","G1/S Transition","9/201","131/10654",0.000823453893838316,0.0163255360857305,0.0126148040703722,"PSMC2/ORC5/PSMA3/PSMF1/CDK7/PSMB2/CDKN1A/MYC/PSMB1",9
"R-HSA-2871837","FCERI mediated NF-kB activation","7/201","82/10654",0.000881176388055867,0.0163255360857305,0.0126148040703722,"PSMC2/PSMA3/PSMF1/PSMB2/NFKBIA/PSMB1/PRKCQ",7
"R-HSA-187577","SCF(Skp2)-mediated degradation of p27/p21","6/201","60/10654",0.000897756361147445,0.0163255360857305,0.0126148040703722,"PSMC2/PSMA3/PSMF1/PSMB2/CDKN1A/PSMB1",6
"R-HSA-5607761","Dectin-1 mediated noncanonical NF-kB signaling","6/201","60/10654",0.000897756361147445,0.0163255360857305,0.0126148040703722,"PSMC2/NFKB2/PSMA3/PSMF1/PSMB2/PSMB1",6
"R-HSA-69242","S Phase","10/201","161/10654",0.000937248249100068,0.0163255360857305,0.0126148040703722,"PSMC2/ORC5/PSMA3/PSMF1/UBE2E1/CDK7/PSMB2/CDKN1A/MYC/PSMB1",10
"R-HSA-1168372","Downstream signaling events of B Cell Receptor (BCR)","7/201","83/10654",0.000947232100695655,0.0163255360857305,0.0126148040703722,"PSMC2/PSMA3/PSMF1/PSMB2/NFKBIA/NFKBIE/PSMB1",7
"R-HSA-2454202","Fc epsilon receptor (FCERI) signaling","9/201","134/10654",0.00096808133865687,0.0163255360857305,0.0126148040703722,"PSMC2/PSMA3/PSMF1/PIK3CA/PSMB2/NFKBIA/FOS/PSMB1/PRKCQ",9
"R-HSA-5678895","Defective CFTR causes cystic fibrosis","6/201","61/10654",0.000980301414346504,0.0163255360857305,0.0126148040703722,"PSMC2/PSMA3/PSMF1/VCP/PSMB2/PSMB1",6
"R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","8/201","108/10654",0.000980332436520581,0.0163255360857305,0.0126148040703722,"HMOX1/CXCL8/BCL6/FOXO3/CDKN1A/MYC/FOS/HIF1A",8
"R-HSA-389960","Formation of tubulin folding intermediates by CCT/TriC","4/201","25/10654",0.00113980015175412,0.0182469528624084,0.0140994901503904,"CCT8/CCT3/CCT4/CCT6A",4
"R-HSA-174084","Autodegradation of Cdh1 by Cdh1:APC/C","6/201","63/10654",0.00116279601574171,0.0182469528624084,0.0140994901503904,"PSMC2/PSMA3/PSMF1/UBE2E1/PSMB2/PSMB1",6
"R-HSA-1834949","Cytosolic sensors of pathogen-associated DNA ","6/201","63/10654",0.00116279601574171,0.0182469528624084,0.0140994901503904,"POLR1D/NFKB2/NFKBIA/DHX9/XRCC6/TBK1",6
"R-HSA-450531","Regulation of mRNA stability by proteins that bind AU-rich elements","7/201","88/10654",0.00133825425316609,0.020329546563609,0.0157087182554203,"PSMC2/HSPB1/PSMA3/PSMF1/PSMB2/YWHAB/PSMB1",7
"R-HSA-5358346","Hedgehog ligand biogenesis","6/201","65/10654",0.00137025130024326,0.020329546563609,0.0157087182554203,"PSMC2/PSMA3/PSMF1/VCP/PSMB2/PSMB1",6
"R-HSA-9614085","FOXO-mediated transcription","6/201","65/10654",0.00137025130024326,0.020329546563609,0.0157087182554203,"BCL6/FOXO3/TXN/YWHAB/CDKN1A/GADD45A",6
"R-HSA-69563","p53-Dependent G1 DNA Damage Response","6/201","66/10654",0.00148401372268953,0.0212448280300817,0.0164159597394465,"PSMC2/PSMA3/PSMF1/PSMB2/CDKN1A/PSMB1",6
"R-HSA-69580","p53-Dependent G1/S DNA damage checkpoint","6/201","66/10654",0.00148401372268953,0.0212448280300817,0.0164159597394465,"PSMC2/PSMA3/PSMF1/PSMB2/CDKN1A/PSMB1",6
"R-HSA-69052","Switching of origins to a post-replicative state","7/201","90/10654",0.00152601849358581,0.0214695015649314,0.0165895658377114,"PSMC2/ORC5/PSMA3/PSMF1/UBE2E1/PSMB2/PSMB1",7
"R-HSA-174154","APC/C:Cdc20 mediated degradation of Securin","6/201","67/10654",0.00160483402734613,0.0221956706154991,0.0171506794358668,"PSMC2/PSMA3/PSMF1/UBE2E1/PSMB2/PSMB1",6
"R-HSA-5658442","Regulation of RAS by GAPs","6/201","68/10654",0.00173299307298248,0.0228084249605436,0.0176241570580052,"PSMC2/PSMA3/PSMF1/RASA2/PSMB2/PSMB1",6
"R-HSA-68867","Assembly of the pre-replicative complex","6/201","68/10654",0.00173299307298248,0.0228084249605436,0.0176241570580052,"PSMC2/ORC5/PSMA3/PSMF1/PSMB2/PSMB1",6
"R-HSA-69615","G1/S DNA Damage Checkpoints","6/201","68/10654",0.00173299307298248,0.0228084249605436,0.0176241570580052,"PSMC2/PSMA3/PSMF1/PSMB2/CDKN1A/PSMB1",6
"R-HSA-389957","Prefoldin mediated transfer of substrate  to CCT/TriC","4/201","28/10654",0.00176515955572323,0.0228630190074628,0.0176663420865199,"CCT8/CCT3/CCT4/CCT6A",4
"R-HSA-73762","RNA Polymerase I Transcription Initiation","5/201","47/10654",0.00183305391143547,0.0230118767958669,0.0177813650680137,"POLR1D/EHMT2/CDK7/TTF1/TAF1C",5
"R-HSA-9020591","Interleukin-12 signaling","5/201","47/10654",0.00183305391143547,0.0230118767958669,0.0177813650680137,"HNRNPDL/GSTO1/SERPINB2/HSPA9/MSN",5
"R-HSA-109581","Apoptosis","10/201","178/10654",0.00199572460801372,0.0246744133354424,0.0190660134003225,"PSMC2/PSMA3/PSMF1/LMNA/PSMB2/YWHAB/C1QBP/PSMB1/PRKCQ/PLEC",10
"R-HSA-453279","Mitotic G1-G1/S phases","9/201","149/10654",0.00203203326358923,0.024748345419236,0.0191231410037698,"PSMC2/ORC5/PSMA3/PSMF1/CDK7/PSMB2/CDKN1A/MYC/PSMB1",9
"R-HSA-68949","Orc1 removal from chromatin","6/201","71/10654",0.00216436447123967,0.0253319300003684,0.0195740790379524,"PSMC2/ORC5/PSMA3/PSMF1/PSMB2/PSMB1",6
"R-HSA-5357801","Programmed Cell Death","10/201","181/10654",0.00225668121915018,0.0253319300003684,0.0195740790379524,"PSMC2/PSMA3/PSMF1/LMNA/PSMB2/YWHAB/C1QBP/PSMB1/PRKCQ/PLEC",10
"R-HSA-499943","Interconversion of nucleotide di- and triphosphates","4/201","30/10654",0.00229416163296142,0.0253319300003684,0.0195740790379524,"TXN/RRM1/AK1/TXNRD1",4
"R-HSA-1169408","ISG15 antiviral mechanism","6/201","72/10654",0.00232475659632497,0.0253319300003684,0.0195740790379524,"ISG15/NUP88/NUP155/HERC5/UBE2E1/IFIT1",6
"R-HSA-174178","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1","6/201","72/10654",0.00232475659632497,0.0253319300003684,0.0195740790379524,"PSMC2/PSMA3/PSMF1/UBE2E1/PSMB2/PSMB1",6
"R-HSA-174184","Cdc20:Phospho-APC/C mediated degradation of Cyclin A","6/201","72/10654",0.00232475659632497,0.0253319300003684,0.0195740790379524,"PSMC2/PSMA3/PSMF1/UBE2E1/PSMB2/PSMB1",6
"R-HSA-69017","CDK-mediated phosphorylation and removal of Cdc6","6/201","72/10654",0.00232475659632497,0.0253319300003684,0.0195740790379524,"PSMC2/PSMA3/PSMF1/UBE2E1/PSMB2/PSMB1",6
"R-HSA-162587","HIV Life Cycle","9/201","152/10654",0.00232830238973974,0.0253319300003684,0.0195740790379524,"NUP88/NUP155/CDK7/POLR2G/TAF2/BANF1/CD4/XRCC6/CXCR4",9
"R-HSA-1236978","Cross-presentation of soluble exogenous antigens (endosomes)","5/201","50/10654",0.00241912660816438,0.0255829153751692,0.0197680163954158,"PSMC2/PSMA3/PSMF1/PSMB2/PSMB1",5
"R-HSA-211733","Regulation of activated PAK-2p34 by proteasome mediated degradation","5/201","50/10654",0.00241912660816438,0.0255829153751692,0.0197680163954158,"PSMC2/PSMA3/PSMF1/PSMB2/PSMB1",5
"R-HSA-72163","mRNA Splicing - Major Pathway","10/201","183/10654",0.00244542573439117,0.0255829153751692,0.0197680163954158,"SNRPG/HNRNPU/SNRPB/HNRNPC/POLR2G/RBM5/RBM8A/DHX9/SRRT/DHX15",10
"R-HSA-179419","APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint","6/201","73/10654",0.00249394208482672,0.0257602119141595,0.0199050141080774,"PSMC2/PSMA3/PSMF1/UBE2E1/PSMB2/PSMB1",6
"R-HSA-1236975","Antigen processing-Cross presentation","7/201","99/10654",0.00263826254432537,0.0266124718671455,0.020563558627993,"PSMC2/PSMA3/PSMF1/PSMB2/TAPBP/CYBA/PSMB1",7
"R-HSA-72695","Formation of the ternary complex, and subsequently, the 43S complex","5/201","51/10654",0.00264167919269459,0.0266124718671455,0.020563558627993,"RPS4Y1/EIF3E/RPS3/RPS27L/EIF3A",5
"R-HSA-176409","APC/C:Cdc20 mediated degradation of mitotic proteins","6/201","75/10654",0.00285989359862231,0.0267791197364843,0.0206923280729542,"PSMC2/PSMA3/PSMF1/UBE2E1/PSMB2/PSMB1",6
"R-HSA-349425","Autodegradation of the E3 ubiquitin ligase COP1","5/201","52/10654",0.00287870833961911,0.0267791197364843,0.0206923280729542,"PSMC2/PSMA3/PSMF1/PSMB2/PSMB1",5
"R-HSA-69601","Ubiquitin Mediated Degradation of Phosphorylated Cdc25A","5/201","52/10654",0.00287870833961911,0.0267791197364843,0.0206923280729542,"PSMC2/PSMA3/PSMF1/PSMB2/PSMB1",5
"R-HSA-69610","p53-Independent DNA Damage Response","5/201","52/10654",0.00287870833961911,0.0267791197364843,0.0206923280729542,"PSMC2/PSMA3/PSMF1/PSMB2/PSMB1",5
"R-HSA-69613","p53-Independent G1/S DNA damage checkpoint","5/201","52/10654",0.00287870833961911,0.0267791197364843,0.0206923280729542,"PSMC2/PSMA3/PSMF1/PSMB2/PSMB1",5
"R-HSA-75815","Ubiquitin-dependent degradation of Cyclin D","5/201","52/10654",0.00287870833961911,0.0267791197364843,0.0206923280729542,"PSMC2/PSMA3/PSMF1/PSMB2/PSMB1",5
"R-HSA-389958","Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding","4/201","32/10654",0.00292323570122333,0.0267791197364843,0.0206923280729542,"CCT8/CCT3/CCT4/CCT6A",4
"R-HSA-73863","RNA Polymerase I Transcription Termination","4/201","32/10654",0.00292323570122333,0.0267791197364843,0.0206923280729542,"POLR1D/CDK7/TTF1/TAF1C",4
"R-HSA-5607764","CLEC7A (Dectin-1) signaling","7/201","101/10654",0.00295357938270048,0.0267791197364843,0.0206923280729542,"PSMC2/NFKB2/PSMA3/PSMF1/PSMB2/NFKBIA/PSMB1",7
"R-HSA-176814","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins","6/201","76/10654",0.00305726553814601,0.027414600869529,0.0211833667709596,"PSMC2/PSMA3/PSMF1/UBE2E1/PSMB2/PSMB1",6
"R-HSA-169911","Regulation of Apoptosis","5/201","53/10654",0.00313074277445572,0.0277683272169116,0.02145669247024,"PSMC2/PSMA3/PSMF1/PSMB2/PSMB1",5
"R-HSA-5619084","ABC transporter disorders","6/201","77/10654",0.00326464223074166,0.028296142533708,0.0218645373809225,"PSMC2/PSMA3/PSMF1/VCP/PSMB2/PSMB1",6
"R-HSA-9020702","Interleukin-1 signaling","7/201","103/10654",0.00329699769568713,0.028296142533708,0.0218645373809225,"PSMC2/NFKB2/PSMA3/PSMF1/PSMB2/NFKBIA/PSMB1",7
"R-HSA-72172","mRNA Splicing","10/201","191/10654",0.00333113928606288,0.028296142533708,0.0218645373809225,"SNRPG/HNRNPU/SNRPB/HNRNPC/POLR2G/RBM5/RBM8A/DHX9/SRRT/DHX15",10
"R-HSA-180585","Vif-mediated degradation of APOBEC3G","5/201","54/10654",0.00339831123566591,0.028296142533708,0.0218645373809225,"PSMC2/PSMA3/PSMF1/PSMB2/PSMB1",5
"R-HSA-8854050","FBXL7 down-regulates AURKA during mitotic entry and in early mitosis","5/201","54/10654",0.00339831123566591,0.028296142533708,0.0218645373809225,"PSMC2/PSMA3/PSMF1/PSMB2/PSMB1",5
"R-HSA-9604323","Negative regulation of NOTCH4 signaling","5/201","54/10654",0.00339831123566591,0.028296142533708,0.0218645373809225,"PSMC2/PSMA3/PSMF1/PSMB2/PSMB1",5
"R-HSA-168643","Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways","5/201","55/10654",0.00368194188208716,0.0290371275730831,0.0224370993502023,"TXN/NFKB2/PSTPIP1/HSP90AB1/TNFAIP3",5
"R-HSA-174113","SCF-beta-TrCP mediated degradation of Emi1","5/201","55/10654",0.00368194188208716,0.0290371275730831,0.0224370993502023,"PSMC2/PSMA3/PSMF1/PSMB2/PSMB1",5
"R-HSA-4641257","Degradation of AXIN","5/201","55/10654",0.00368194188208716,0.0290371275730831,0.0224370993502023,"PSMC2/PSMA3/PSMF1/PSMB2/PSMB1",5
"R-HSA-8941858","Regulation of RUNX3 expression and activity","5/201","55/10654",0.00368194188208716,0.0290371275730831,0.0224370993502023,"PSMC2/PSMA3/PSMF1/PSMB2/PSMB1",5
"R-HSA-1810476","RIP-mediated NFkB activation via ZBP1","3/201","17/10654",0.00370081037696157,0.0290371275730831,0.0224370993502023,"NFKB2/NFKBIA/DHX9",3
"R-HSA-9617828","FOXO-mediated transcription of cell cycle genes","3/201","17/10654",0.00370081037696157,0.0290371275730831,0.0224370993502023,"FOXO3/CDKN1A/GADD45A",3
"R-HSA-1169410","Antiviral mechanism by IFN-stimulated genes","6/201","80/10654",0.00394988460315432,0.0304066588318295,0.0234953413832119,"ISG15/NUP88/NUP155/HERC5/UBE2E1/IFIT1",6
"R-HSA-176408","Regulation of APC/C activators between G1/S and early anaphase","6/201","80/10654",0.00394988460315432,0.0304066588318295,0.0234953413832119,"PSMC2/PSMA3/PSMF1/UBE2E1/PSMB2/PSMB1",6
"R-HSA-447115","Interleukin-12 family signaling","5/201","57/10654",0.00429949599404779,0.0321870525792935,0.0248710584300785,"HNRNPDL/GSTO1/SERPINB2/HSPA9/MSN",5
"R-HSA-4641258","Degradation of DVL","5/201","57/10654",0.00429949599404779,0.0321870525792935,0.0248710584300785,"PSMC2/PSMA3/PSMF1/PSMB2/PSMB1",5
"R-HSA-69541","Stabilization of p53","5/201","57/10654",0.00429949599404779,0.0321870525792935,0.0248710584300785,"PSMC2/PSMA3/PSMF1/PSMB2/PSMB1",5
"R-HSA-913531","Interferon Signaling","10/201","199/10654",0.00445545485390554,0.0325118607140187,0.0251220389160181,"IRF8/HLA-DRA/ISG15/NUP88/NUP155/HERC5/UBE2E1/IFIT3/ISG20/IFIT1",10
"R-HSA-195253","Degradation of beta-catenin by the destruction complex","6/201","82/10654",0.00446241225486532,0.0325118607140187,0.0251220389160181,"PSMC2/PSMA3/PSMF1/FRAT1/PSMB2/PSMB1",6
"R-HSA-9013694","Signaling by NOTCH4","6/201","82/10654",0.00446241225486532,0.0325118607140187,0.0251220389160181,"PSMC2/PSMA3/PSMF1/NOTCH2/PSMB2/PSMB1",6
"R-HSA-69481","G2/M Checkpoints","9/201","168/10654",0.00453720116945597,0.0327642137546555,0.0253170330740953,"PSMC2/ORC5/PSMA3/PSMF1/PSMB2/YWHAB/TOPBP1/RBBP8/PSMB1",9
"R-HSA-72649","Translation initiation complex formation","5/201","58/10654",0.00463446771171947,0.0331730320417814,0.0256329285255767,"RPS4Y1/EIF3E/RPS3/RPS27L/EIF3A",5
"R-HSA-1236974","ER-Phagosome pathway","6/201","83/10654",0.00473632239674866,0.0336072963108427,0.0259684861844618,"PSMC2/PSMA3/PSMF1/PSMB2/TAPBP/PSMB1",6
"R-HSA-72662","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","5/201","59/10654",0.00498759701994821,0.03452259104538,0.0266757379207722,"RPS4Y1/EIF3E/RPS3/RPS27L/EIF3A",5
"R-HSA-3299685","Detoxification of Reactive Oxygen Species","4/201","37/10654",0.00498975105514619,0.03452259104538,0.0266757379207722,"TXN/TXNRD1/PRDX1/CYBA",4
"R-HSA-446652","Interleukin-1 family signaling","8/201","140/10654",0.00499223743058191,0.03452259104538,0.0266757379207722,"PSMC2/NFKB2/PSMA3/PSMF1/PSMB2/NFKBIA/PSMB1/TBK1",8
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs","9/201","171/10654",0.00509060477632669,0.0347084998763612,0.02681939038434,"PSMC2/PSMA3/RPS4Y1/PSMF1/PSMB2/RBM8A/RPS3/RPS27L/PSMB1",9
"R-HSA-202430","Translocation of ZAP-70 to Immunological synapse","3/201","19/10654",0.00512949730274823,0.0347084998763612,0.02681939038434,"HLA-DRA/PTPN22/CD4",3
"R-HSA-5663202","Diseases of signal transduction","15/201","377/10654",0.00517428023935435,0.0347084998763612,0.02681939038434,"PSMC2/FOXO3/PSMA3/PSMF1/FXR1/PIK3CA/LMNA/VCP/PSMB2/POLR2G/YWHAB/CDKN1A/VCL/MYC/PSMB1",15
"R-HSA-983705","Signaling by the B Cell Receptor (BCR)","7/201","112/10654",0.00523319383126108,0.0347084998763612,0.02681939038434,"PSMC2/PSMA3/PSMF1/PSMB2/NFKBIA/NFKBIE/PSMB1",7
"R-HSA-69002","DNA Replication Pre-Initiation","6/201","85/10654",0.00532100118954267,0.0347084998763612,0.02681939038434,"PSMC2/ORC5/PSMA3/PSMF1/PSMB2/PSMB1",6
"R-HSA-5610780","Degradation of GLI1 by the proteasome","5/201","60/10654",0.00535940071620283,0.0347084998763612,0.02681939038434,"PSMC2/PSMA3/PSMF1/PSMB2/PSMB1",5
"R-HSA-5610783","Degradation of GLI2 by the proteasome","5/201","60/10654",0.00535940071620283,0.0347084998763612,0.02681939038434,"PSMC2/PSMA3/PSMF1/PSMB2/PSMB1",5
